Species,Mass(g),BMR (kJ/h),Timeb,Foodc,Climated,Habitate,Torpor?f,Migrationg,Islands?h,Mountains?i,Flightless?j,Reference
Myiopsitta monachus,80.4,1.89,N,S,T,F/G,N,N,N,N,N,Weathers & Caccamise 1978
Neophema petrophila,48.4,2.28,N,S,T,F/G,N,N,N,N,N,Williams et al. 1991
Neophema pulchella,40,2.09,N,F/S,T,F/G,N,N,N,N,N,Prinzinger & Hänssler 1980
Neopsephotus bourkii,40,1.94,N,S,T,F/G,N,N,N,N,N,Prinzinger & Hänssler 1980
Nestor meridionalis,369.3,7.71,D,F/I,T,F,N,N,L,N,N,McNab & Salisbury 1995
Nestor notabilis,836.9,15.98,D/N,F/L,T,A,N,N,L,Y,N,McNab & Salisbury 1995
Netta rufina,1237,25.56,N,AV,T,L,N,Y,N,N,N,Prinzinger & Hänssler 1980
Ninox theomacha,151.4,3.77,D,I,TR,F,N,N,N,N,N,"McNab, pers. obs."
Nyctea scandiaca,2026,11.84,D,V,P,T,N,Y,N,N,N,Gessaman 1972
Nymphicus hollandicus,85.6,2.48,N,S,T/TR,F,N,N,N,N,N,Kendeigh et al. 1997
Oceanodroma furcata,44.6,1.59,N,AI,T,P,N,Y,N,N,N,Vleck & Kenagy 1980
Ocyphaps lophotes,187,3.91,N,S,T/TR,G,N,N,N,N,N,Schleucher & Withers 2002
Oena capensis,36,0.88,N,S,T/TR,G,N,+/O,N,N,N,Schleucher 2001
Otus asio,165.5,2.16,D,V/I,T,F,N,N,N,N,N,Ligon 1969
Otus scops,78.9,1.7,D,I,T,F,N,Y,N,N,N,Gavrilov & Dol’nik 1985
Otus trichopsis,99.8,1.5,D,I,TR,F,N,N,N,N,N,Ligon 1969
Pandion haliaetus,1495,19.88,N,V,T,L/W,N,N,N,N,N,Wasser 1986
Parabuteo unicinctus,572,5.07,N,V,TR,D,N,N,N,N,N,Wasser 1986
Perdix perdix,501,7.75,N,S/L,T,G,N,N,N,N,N,Kendeigh et al. 1977
Pernis apivorus,652,8.41,N,I,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Phalaenoptilus nuttalli,40,0.64,D,FI,T,D,HIB,+/O,N,N,N,Bartholomew et al. 1962
Phaps chalcoptera,304,5.5,N,S,T,F,N,N,N,N,N,Schleucher & Withers 2002
Phaps elegans,190,4.46,N,S,T,F,N,N,N,N,N,Schleucher & Withers 2002
Phaps histrionica,257,4.67,N,S,T/TR,G,N,N,N,N,N,Schleucher & Withers 2002
Pluvialis apricaria,151,4.47,N,AI,P,T,N,Y,N,N,N,Daan et al. 1990
Pluvialis squatorola,226,6.41,N,AI,P,T,N,Y,N,N,N,Kersten & Piersma 1987
Podargus ocellatus,145,2.04,D,FI,TR,F,NA,N,N,N,N,Lasiewski et al. 1970
Podargus papuensis,314.6,3.85,D,FI,TR,F,NA,N,N,N,N,McNab & Bonaccorso 1995
Podargus strigoides,380.3,3.72,D,FI,T/TR,F,Y,N,N,N,N,Bech & Nichol 1999
Pteroglossus aracari,200.7,3.2,N,F/I,TR,F,N,N,N,N,N,McNab 2001
Ptilinopus melanospila,98,1.76,N,F,TR,F,N,N,N,N,N,Schleucher & Withers 2002
Ptilinopus perlatus,196,3.82,N,F,TR,F,N,N,N,N,N,McNab 2000
Ptilinopus superbus,120.4,2.72,N,F,TR,F,N,N,N,N,N,Schleucher 2002
Ramphastos dicolorus,328.9,4.55,N,F/V,TR,F,N,N,N,N,N,McNab 2001
Ramphastos toco,582,8.72,N,F/V,TR,F,N,N,N,N,N,McNab 2001
Ramphastos tucanus,420.3,6.15,N,F/V,TR,F,N,N,N,N,N,McNab 2001
